Qty,Designator,Footprint,Comment,LCSC Part #,Description,Device
1,C1,C0603,1.5nF,C1595,"CAPACITOR, European symbol",C-EUC0603
1,R4,R0805,0R22,C17477,"RESISTOR, European symbol",R-EU_R0805
1,R3,R0603,180R,C22828,"RESISTOR, European symbol",R-EU_R0603
2,"C2, C24",RC-MASTER-SMD_C7343-43,220uF,C122304,POLARIZED CAP,RC-MASTER-SMD_CP_7343-43
1,R2,R0402,20K,C25765,"RESISTOR, European symbol",R-EU_R0402
4,"R1, R5, R6, R7",R0402,2K2,C25879,"RESISTOR, European symbol",R-EU_R0402
2,"INPUT_LED, OUTPUT_LED",CHIPLED_0603,GREEN,C72043,LED,LEDCHIPLED_0603
1,U1,SOIC127P599X175-8N,MC34063ADR,C32078,1.5-A Boost/Buck/Inverting Switching Regulator 8-SOIC 0 to 70  Check prices,MC34063ADR
1,D1,DIOM5336X265N,SS54,C22452,Diode Schottky 40V 2A Surface Mount DO-214AA (SMB)  Check prices,SS54
1,L1,POWER-CHOKE_WE-TPC,YNR6045-101M,C339953,"INDUCTOR, European symbol",L-EUWE-TPC
